date,close,start_date,end_date,standard_error,existence
01/01/2000,9.178929773633659,11/12/1999,02/20/2000,3.0297980120973382,1
01/02/2000,9.178899924814646,11/13/1999,02/21/2000,3.0297980120973382,0
01/03/2000,9.17886949072467,11/14/1999,02/22/2000,3.0297980120973382,0
01/04/2000,9.178838471363736,11/15/1999,02/23/2000,3.0297980120973382,0
01/05/2000,9.178806866731838,11/16/1999,02/24/2000,3.0297980120973382,0
01/06/2000,9.178774676828981,11/17/1999,02/25/2000,3.0297980120973382,0
01/07/2000,9.178741901655163,11/18/1999,02/26/2000,3.0297980120973382,0
01/08/2000,9.178708541210382,11/19/1999,02/27/2000,3.0297980120973382,0
01/09/2000,9.178674595494641,11/20/1999,02/28/2000,3.0297980120973382,0
01/10/2000,9.178640064507938,11/21/1999,02/29/2000,3.0297980120973382,0
01/11/2000,9.178604948250277,11/22/1999,03/01/2000,3.0297980120973382,0
01/12/2000,9.178569246721654,11/23/1999,03/02/2000,3.0297980120973382,0
01/13/2000,9.17853295992207,11/24/1999,03/03/2000,3.0297980120973382,0
01/14/2000,9.178496087851524,11/25/1999,03/04/2000,3.0297980120973382,0
01/15/2000,9.178458630510017,11/26/1999,03/05/2000,3.0297980120973382,0
01/16/2000,9.178420587897548,11/27/1999,03/06/2000,3.0297980120973382,0
01/17/2000,9.178381960014121,11/28/1999,03/07/2000,3.0297980120973382,0
01/18/2000,9.17834274685973,11/29/1999,03/08/2000,3.0297980120973382,0
01/19/2000,9.178302948434379,11/30/1999,03/09/2000,3.0297980120973382,0
01/20/2000,9.178262564738068,12/01/1999,03/10/2000,3.0297980120973382,0
01/21/2000,9.178221595770792,12/02/1999,03/11/2000,3.0297980120973382,0
01/22/2000,9.178180041532558,12/03/1999,03/12/2000,3.0297980120973382,0
01/23/2000,9.178137902023364,12/04/1999,03/13/2000,3.0297980120973382,0
01/24/2000,9.178095177243206,12/05/1999,03/14/2000,3.0297980120973382,0
01/25/2000,9.17805186719209,12/06/1999,03/15/2000,3.0297980120973382,0
01/26/2000,9.17800797187001,12/07/1999,03/16/2000,3.0297980120973382,0
01/27/2000,9.177963491276971,12/08/1999,03/17/2000,3.0297980120973382,0
01/28/2000,9.17791842541297,12/09/1999,03/18/2000,3.0297980120973382,0
