date,close,start_date,end_date,standard_error,existence
01/03/1999,71.70370370370371,01/03/1999,02/22/1999,3.778888725538237,1
01/04/1999,72.0940170940171,01/03/1999,02/23/1999,3.5316033500695156,0
01/05/1999,72.4658280922432,01/03/1999,02/24/1999,3.5316033500695156,0
01/06/1999,72.8201646090535,01/03/1999,02/25/1999,3.5316033500695156,0
01/07/1999,73.1579797979798,01/03/1999,02/26/1999,3.5316033500695156,0
01/08/1999,73.47658730158732,01/03/1999,02/27/1999,3.319700011034928,0
01/09/1999,73.7815957518317,01/03/1999,02/28/1999,3.319700011034928,0
01/10/1999,74.07370854802485,01/03/1999,03/01/1999,3.319700011034928,0
01/11/1999,74.35358140138972,01/03/1999,03/02/1999,3.319700011034928,0
01/12/1999,74.6218263090677,01/03/1999,03/03/1999,3.319700011034928,0
01/13/1999,74.87901513724013,01/03/1999,03/04/1999,3.319700011034928,0
01/14/1999,75.12568285749599,01/03/1999,03/05/1999,3.319700011034928,0
01/15/1999,75.36233047497416,01/03/1999,03/06/1999,3.319700011034928,0
01/16/1999,75.58942768199233,01/03/1999,03/07/1999,3.319700011034928,0
01/17/1999,75.8074152667256,01/03/1999,03/08/1999,3.319700011034928,0
01/18/1999,76.01670730291418,01/03/1999,03/09/1999,3.319700011034928,0
01/19/1999,76.217693143478,01/03/1999,03/10/1999,3.319700011034928,0
01/20/1999,76.410739238224,01/03/1999,03/11/1999,3.319700011034928,0
01/21/1999,76.59619079349211,01/03/1999,03/12/1999,3.319700011034928,0
01/22/1999,76.77437328954566,01/03/1999,03/13/1999,3.319700011034928,0
01/23/1999,76.94559386973177,01/03/1999,03/14/1999,3.319700011034928,0
01/24/1999,77.1101426138782,01/03/1999,03/15/1999,3.319700011034928,0
01/25/1999,77.26829370702772,01/03/1999,03/16/1999,3.319700011034928,1
01/26/1999,77.42030651340993,01/03/1999,03/17/1999,3.319700011034928,0
01/27/1999,77.5664265644955,01/03/1999,03/18/1999,3.319700011034928,1
01/28/1999,77.70688646904615,01/03/1999,03/19/1999,3.319700011034928,0
01/29/1999,77.84190675225156,01/03/1999,03/20/1999,3.319700011034928,0
01/30/1999,77.9716966303173,01/03/1999,03/21/1999,3.319700011034928,0
01/31/1999,78.09645472622337,01/03/1999,03/22/1999,3.319700011034928,0
02/01/1999,78.21636973180075,01/03/1999,03/23/1999,3.319700011034928,1
02/02/1999,78.33162102076533,01/03/1999,03/24/1999,3.319700011034928,0
02/03/1999,78.4423792168956,01/03/1999,03/25/1999,3.319700011034928,0
02/04/1999,78.54880672113741,01/03/1999,03/26/1999,3.319700011034928,0
02/05/1999,78.6494161649334,01/03/1999,03/27/1999,3.1299960063872287,0
02/06/1999,78.74681799156443,01/03/1999,03/28/1999,3.1299960063872287,0
02/07/1999,78.84112409465256,01/03/1999,03/29/1999,3.1299960063872287,0
02/08/1999,78.93244122328545,01/03/1999,03/30/1999,3.1299960063872287,0
02/09/1999,79.02087127431955,01/03/1999,03/31/1999,3.1299960063872287,0
02/10/1999,79.10651156497727,01/03/1999,04/01/1999,3.1299960063872287,0
02/11/1999,79.18945508727117,01/03/1999,04/02/1999,3.1299960063872287,0
02/12/1999,79.2697907456528,01/03/1999,04/03/1999,3.1299960063872287,0
02/13/1999,79.3476035791628,01/03/1999,04/04/1999,3.1299960063872287,0
02/14/1999,79.4229749692486,01/03/1999,04/05/1999,3.1299960063872287,0
02/15/1999,79.49598283431739,01/03/1999,04/06/1999,3.1299960063872287,1
02/16/1999,79.56670181200126,01/03/1999,04/07/1999,3.1299960063872287,0
02/17/1999,79.63520343003101,01/03/1999,04/08/1999,3.1299960063872287,0
02/18/1999,79.70155626654027,01/03/1999,04/09/1999,3.1299960063872287,0
02/19/1999,79.76582610055516,01/03/1999,04/10/1999,3.1299960063872287,0
02/20/1999,79.8280760533634,01/03/1999,04/11/1999,3.1299960063872287,0
02/21/1999,79.8883667214012,01/03/1999,04/12/1999,3.1299960063872287,0
02/22/1999,79.94675630124588,01/03/1999,04/13/1999,3.1299960063872287,0
02/23/1999,80.23105615980316,01/04/1999,04/14/1999,3.4106675389466634,1
02/24/1999,80.51464880478194,01/05/1999,04/15/1999,3.4106675389466634,0
02/25/1999,80.79753423618223,01/06/1999,04/16/1999,3.4106675389466634,0
02/26/1999,81.07971245400401,01/07/1999,04/17/1999,3.4106675389466634,0
02/27/1999,81.3611834582473,01/08/1999,04/18/1999,3.4106675389466634,1
02/28/1999,81.64194724891207,01/09/1999,04/19/1999,3.4106675389466634,0
03/01/1999,81.92200382599836,01/10/1999,04/20/1999,3.4106675389466634,0
03/02/1999,82.20135318950614,01/11/1999,04/21/1999,3.4106675389466634,0
03/03/1999,82.47999533943542,01/12/1999,04/22/1999,3.4106675389466634,0
03/04/1999,82.75722306220769,01/13/1999,04/23/1999,3.1991209730174317,0
03/05/1999,83.03727963929397,01/14/1999,04/24/1999,3.1991209730174317,0
03/06/1999,83.32016507069426,01/15/1999,04/25/1999,3.1991209730174317,0
03/07/1999,83.60587935640855,01/16/1999,04/26/1999,3.1991209730174317,0
03/08/1999,83.89442249643683,01/17/1999,04/27/1999,3.1991209730174317,0
03/09/1999,84.18579449077913,01/18/1999,04/28/1999,3.1991209730174317,0
03/10/1999,84.48282419374942,01/19/1999,04/29/1999,3.0266307715280525,0
03/11/1999,84.77852107112948,01/20/1999,04/30/1999,3.0266307715280525,0
03/12/1999,85.07288512291927,01/21/1999,05/01/1999,3.0266307715280525,0
03/13/1999,85.36591634911882,01/22/1999,05/02/1999,3.0266307715280525,0
03/14/1999,85.65761474972811,01/23/1999,05/03/1999,3.0266307715280525,0
03/15/1999,85.94798032474718,01/24/1999,05/04/1999,3.0266307715280525,0
03/16/1999,86.23701307417598,01/25/1999,05/05/1999,3.0266307715280525,0
03/17/1999,86.52471299801451,01/26/1999,05/06/1999,3.2715630820755996,0
03/18/1999,86.75827481573475,01/27/1999,05/07/1999,3.2715630820755996,0
03/19/1999,86.88489324680862,01/28/1999,05/08/1999,3.5340905362437085,0
03/20/1999,86.99862769717672,01/29/1999,05/09/1999,3.5340905362437085,0
03/21/1999,87.09947816683906,01/30/1999,05/10/1999,3.5340905362437085,0
03/22/1999,87.18744465579564,01/31/1999,05/11/1999,3.5340905362437085,0
03/23/1999,87.26252716404645,02/01/1999,05/12/1999,3.5340905362437085,0
03/24/1999,87.313174536476,02/02/1999,05/13/1999,3.8441875315569325,0
03/25/1999,87.3558884232493,02/03/1999,05/14/1999,3.8441875315569325,0
03/26/1999,87.39066882436634,02/04/1999,05/15/1999,3.8441875315569325,0
03/27/1999,87.41751573982712,02/05/1999,05/16/1999,3.8441875315569325,1
03/28/1999,87.43642916963164,02/06/1999,05/17/1999,3.8441875315569325,0
03/29/1999,87.44740911377993,02/07/1999,05/18/1999,3.8441875315569325,0
03/30/1999,87.4504555722719,02/08/1999,05/19/1999,3.8441875315569325,0
03/31/1999,87.44556854510765,02/09/1999,05/20/1999,3.8441875315569325,0
04/01/1999,87.43274803228712,02/10/1999,05/21/1999,3.8441875315569325,0
04/02/1999,87.41199403381034,02/11/1999,05/22/1999,3.8441875315569325,0
04/03/1999,87.38330654967731,02/12/1999,05/23/1999,3.8441875315569325,0
04/04/1999,87.346685579888,02/13/1999,05/24/1999,3.8441875315569325,0
04/05/1999,87.30213112444247,02/14/1999,05/25/1999,3.8441875315569325,0
04/06/1999,87.24964318334067,02/15/1999,05/26/1999,3.8441875315569325,0
04/07/1999,87.1826210965166,02/16/1999,05/27/1999,4.2047592083257275,0
04/08/1999,87.1120659640803,02/17/1999,05/28/1999,4.2047592083257275,0
04/09/1999,87.03797778603172,02/18/1999,05/29/1999,4.2047592083257275,0
04/10/1999,86.9603565623709,02/19/1999,05/30/1999,4.2047592083257275,0
04/11/1999,86.87920229309783,02/20/1999,05/31/1999,4.2047592083257275,0
04/12/1999,86.79451497821248,02/21/1999,06/01/1999,4.2047592083257275,0
04/13/1999,86.70629461771489,02/22/1999,06/02/1999,4.2047592083257275,0
04/14/1999,86.61454121160506,02/23/1999,06/03/1999,4.2047592083257275,0
04/15/1999,86.51705453986092,02/24/1999,06/04/1999,4.677071733467427,0
04/16/1999,86.42021524054637,02/25/1999,06/05/1999,4.677071733467427,0
04/17/1999,86.32402331366137,02/26/1999,06/06/1999,4.677071733467427,0
04/18/1999,86.22847875920593,02/27/1999,06/07/1999,4.677071733467427,0
04/19/1999,86.13556177519986,02/28/1999,06/08/1999,5.3644923131436935,0
04/20/1999,86.04267761941028,03/01/1999,06/09/1999,5.3644923131436935,0
04/21/1999,85.94982629183723,03/02/1999,06/10/1999,5.3644923131436935,0
04/22/1999,85.85700779248064,03/03/1999,06/11/1999,5.3644923131436935,0
04/23/1999,85.76422212134058,03/04/1999,06/12/1999,5.3644923131436935,1
04/24/1999,85.67146927841702,03/05/1999,06/13/1999,5.3644923131436935,0
04/25/1999,85.57874926370997,03/06/1999,06/14/1999,5.3644923131436935,0
04/26/1999,85.48606207721946,03/07/1999,06/15/1999,5.3644923131436935,0
04/27/1999,85.39340771894541,03/08/1999,06/16/1999,5.3644923131436935,0
04/28/1999,85.30078618888788,03/09/1999,06/17/1999,5.3644923131436935,0
04/29/1999,85.20819748704686,03/10/1999,06/18/1999,5.3644923131436935,1
04/30/1999,85.11564161342237,03/11/1999,06/19/1999,5.3644923131436935,0
05/01/1999,85.0231185680144,03/12/1999,06/20/1999,5.3644923131436935,0
05/02/1999,84.93062835082294,03/13/1999,06/21/1999,5.3644923131436935,0
05/03/1999,84.83817096184795,03/14/1999,06/22/1999,5.3644923131436935,0
05/04/1999,84.7457464010895,03/15/1999,06/23/1999,5.3644923131436935,0
05/05/1999,84.65335466854755,03/16/1999,06/24/1999,5.3644923131436935,0
05/06/1999,84.56099576422213,03/17/1999,06/25/1999,5.3644923131436935,0
05/07/1999,84.46866968811318,03/18/1999,06/26/1999,5.3644923131436935,0
05/08/1999,84.37637644022074,03/19/1999,06/27/1999,5.3644923131436935,0
05/09/1999,84.28411602054479,03/20/1999,06/28/1999,5.3644923131436935,0
05/10/1999,84.19188842908537,03/21/1999,06/29/1999,5.3644923131436935,0
05/11/1999,84.09969366584247,03/22/1999,06/30/1999,5.3644923131436935,0
05/12/1999,84.00753173081608,03/23/1999,07/01/1999,5.3644923131436935,0
05/13/1999,83.9154026240062,03/24/1999,07/02/1999,5.3644923131436935,0
05/14/1999,83.82330634541283,03/25/1999,07/03/1999,5.3644923131436935,0
05/15/1999,83.73124289503595,03/26/1999,07/04/1999,5.3644923131436935,0
05/16/1999,83.63921227287561,03/27/1999,07/05/1999,5.3644923131436935,0
05/17/1999,83.54858013273852,03/28/1999,07/06/1999,6.557438524302,0
05/18/1999,83.45732238058967,03/29/1999,07/07/1999,6.557438524302,0
05/19/1999,83.3654390164291,03/30/1999,07/08/1999,6.557438524302,0
05/20/1999,83.27293004025672,03/31/1999,07/09/1999,6.557438524302,0
05/21/1999,83.17979545207263,04/01/1999,07/10/1999,6.557438524302,0
05/22/1999,83.08603525187678,04/02/1999,07/11/1999,6.557438524302,0
05/23/1999,82.99164943966916,04/03/1999,07/12/1999,6.557438524302,0
05/24/1999,82.89663801544984,04/04/1999,07/13/1999,6.557438524302,0
05/25/1999,82.80100097921874,04/05/1999,07/14/1999,6.557438524302,0
05/26/1999,82.7047383309759,04/06/1999,07/15/1999,6.557438524302,0
05/27/1999,82.6078500707213,04/07/1999,07/16/1999,6.557438524302,0
05/28/1999,82.51033619845495,04/08/1999,07/17/1999,6.557438524302,0
05/29/1999,82.41219671417686,04/09/1999,07/18/1999,6.557438524302,0
05/30/1999,82.313431617887,04/10/1999,07/19/1999,6.557438524302,0
05/31/1999,82.2140409095854,04/11/1999,07/20/1999,6.557438524302,0
06/01/1999,82.11402458927208,04/12/1999,07/21/1999,6.557438524302,0
06/02/1999,82.01338265694696,04/13/1999,07/22/1999,6.557438524302,0
06/03/1999,81.9121151126101,04/14/1999,07/23/1999,6.557438524302,0
06/04/1999,81.8102219562615,04/15/1999,07/24/1999,6.557438524302,0
06/05/1999,81.70770318790115,04/16/1999,07/25/1999,6.557438524302,0
06/06/1999,81.60455880752902,04/17/1999,07/26/1999,6.557438524302,0
06/07/1999,81.50078881514517,04/18/1999,07/27/1999,6.557438524302,0
06/08/1999,81.39639321074957,04/19/1999,07/28/1999,6.557438524302,0
