date,close,start_date,end_date,standard_error,existence
01/01/2000,20.107117528871274,11/12/1999,02/20/2000,4.502038766472105,1
01/02/2000,20.105593412042484,11/13/1999,02/21/2000,4.502038766472105,0
01/03/2000,20.10394469318136,11/14/1999,02/22/2000,4.502038766472105,0
01/04/2000,20.102171372287895,11/15/1999,02/23/2000,4.502038766472105,0
01/05/2000,20.100273449362096,11/16/1999,02/24/2000,4.502038766472105,0
01/06/2000,20.098250924403953,11/17/1999,02/25/2000,4.502038766472105,0
01/07/2000,20.09610379741348,11/18/1999,02/26/2000,4.502038766472105,0
01/08/2000,20.093832068390665,11/19/1999,02/27/2000,4.502038766472105,0
01/09/2000,20.091435737335516,11/20/1999,02/28/2000,4.502038766472105,0
01/10/2000,20.088914804248027,11/21/1999,02/29/2000,4.502038766472105,0
01/11/2000,20.0862692691282,11/22/1999,03/01/2000,4.502038766472105,0
01/12/2000,20.08349913197603,11/23/1999,03/02/2000,4.502038766472105,0
01/13/2000,20.080604392791532,11/24/1999,03/03/2000,4.502038766472105,0
01/14/2000,20.07758505157469,11/25/1999,03/04/2000,4.502038766472105,0
01/15/2000,20.074441108325512,11/26/1999,03/05/2000,4.502038766472105,0
01/16/2000,20.071172563043998,11/27/1999,03/06/2000,4.502038766472105,0
01/17/2000,20.067779415730143,11/28/1999,03/07/2000,4.502038766472105,0
01/18/2000,20.064261666383953,11/29/1999,03/08/2000,4.502038766472105,0
01/19/2000,20.06061931500542,11/30/1999,03/09/2000,4.502038766472105,0
01/20/2000,20.056852361594554,12/01/1999,03/10/2000,4.502038766472105,0
01/21/2000,20.05296080615135,12/02/1999,03/11/2000,4.502038766472105,0
01/22/2000,20.04894464867581,12/03/1999,03/12/2000,4.502038766472105,0
01/23/2000,20.04480388916793,12/04/1999,03/13/2000,4.502038766472105,0
01/24/2000,20.040538527627714,12/05/1999,03/14/2000,4.502038766472105,0
01/25/2000,20.036148564055157,12/06/1999,03/15/2000,4.502038766472105,0
01/26/2000,20.031633998450264,12/07/1999,03/16/2000,4.502038766472105,0
01/27/2000,20.026994830813035,12/08/1999,03/17/2000,4.502038766472105,0
01/28/2000,20.022231061143465,12/09/1999,03/18/2000,4.502038766472105,0
01/29/2000,20.017342689441563,12/10/1999,03/19/2000,4.502038766472105,0
01/30/2000,20.012329715707313,12/11/1999,03/20/2000,4.502038766472105,0
01/31/2000,20.00711489660271,12/12/1999,03/21/2000,3.158511451668971,0
02/01/2000,20.001957265929565,12/13/1999,03/22/2000,3.158511451668971,0
02/02/2000,19.996856823687878,12/14/1999,03/23/2000,3.158511451668971,0
02/03/2000,19.991813569877642,12/15/1999,03/24/2000,3.158511451668971,0
02/04/2000,19.986827504498862,12/16/1999,03/25/2000,3.158511451668971,0
02/05/2000,19.981898627551534,12/17/1999,03/26/2000,3.158511451668971,0
02/06/2000,19.977026939035664,12/18/1999,03/27/2000,3.158511451668971,0
02/07/2000,19.972212438951253,12/19/1999,03/28/2000,3.158511451668971,0
02/08/2000,19.967455127298294,12/20/1999,03/29/2000,3.158511451668971,0
02/09/2000,19.96275500407679,12/21/1999,03/30/2000,3.158511451668971,0
02/10/2000,19.95811206928674,12/22/1999,03/31/2000,3.158511451668971,0
02/11/2000,19.953526322928152,12/23/1999,04/01/2000,3.158511451668971,0
02/12/2000,19.948997765001014,12/24/1999,04/02/2000,3.158511451668971,0
02/13/2000,19.944526395505328,12/25/1999,04/03/2000,3.158511451668971,0
02/14/2000,19.940112214441104,12/26/1999,04/04/2000,3.158511451668971,0
02/15/2000,19.935755221808332,12/27/1999,04/05/2000,3.158511451668971,0
02/16/2000,19.93145541760702,12/28/1999,04/06/2000,3.158511451668971,0
02/17/2000,19.927212801837154,12/29/1999,04/07/2000,3.158511451668971,0
02/18/2000,19.923027374498755,12/30/1999,04/08/2000,3.158511451668971,0
02/19/2000,19.918899135591804,12/31/1999,04/09/2000,3.158511451668971,0
02/20/2000,19.914828085116312,01/01/2000,04/10/2000,3.158511451668971,0
02/21/2000,19.91076686437795,01/02/2000,04/11/2000,4.431300633728031,0
02/22/2000,19.90688743410339,01/03/2000,04/12/2000,4.431300633728031,0
02/23/2000,19.903189794292622,01/04/2000,04/13/2000,4.431300633728031,0
02/24/2000,19.89967394494564,01/05/2000,04/14/2000,4.431300633728031,0
02/25/2000,19.89633988606246,01/06/2000,04/15/2000,4.431300633728031,0
02/26/2000,19.893187617643072,01/07/2000,04/16/2000,4.431300633728031,0
02/27/2000,19.890217139687472,01/08/2000,04/17/2000,4.431300633728031,0
02/28/2000,19.887428452195675,01/09/2000,04/18/2000,4.431300633728031,0
02/29/2000,19.88482155516766,01/10/2000,04/19/2000,4.431300633728031,0
03/01/2000,19.88239644860344,01/11/2000,04/20/2000,4.431300633728031,0
03/02/2000,19.88015313250302,01/12/2000,04/21/2000,4.431300633728031,0
03/03/2000,19.878091606866388,01/13/2000,04/22/2000,4.431300633728031,0
03/04/2000,19.876211871693545,01/14/2000,04/23/2000,4.431300633728031,0
03/05/2000,19.87461847411027,01/15/2000,04/24/2000,3.1481115252864584,0
03/06/2000,19.872860775320564,01/16/2000,04/25/2000,3.1481115252864584,0
03/07/2000,19.870938775324422,01/17/2000,04/26/2000,3.1481115252864584,0
03/08/2000,19.868852474121844,01/18/2000,04/27/2000,3.1481115252864584,0
03/09/2000,19.866601871712827,01/19/2000,04/28/2000,3.1481115252864584,0
03/10/2000,19.864186968097382,01/20/2000,04/29/2000,3.1481115252864584,0
03/11/2000,19.861607763275497,01/21/2000,04/30/2000,3.1481115252864584,0
03/12/2000,19.858864257247177,01/22/2000,05/01/2000,3.1481115252864584,0
03/13/2000,19.855956450012425,01/23/2000,05/02/2000,3.1481115252864584,0
03/14/2000,19.852884341571237,01/24/2000,05/03/2000,3.1481115252864584,0
03/15/2000,19.84964793192361,01/25/2000,05/04/2000,3.1481115252864584,0
03/16/2000,19.84624722106955,01/26/2000,05/05/2000,3.1481115252864584,0
03/17/2000,19.842682209009055,01/27/2000,05/06/2000,3.1481115252864584,0
03/18/2000,19.838952895742125,01/28/2000,05/07/2000,3.1481115252864584,0
03/19/2000,19.835059281268755,01/29/2000,05/08/2000,3.1481115252864584,0
03/20/2000,19.831001365588957,01/30/2000,05/09/2000,3.1481115252864584,0
03/21/2000,19.82677914870272,01/31/2000,05/10/2000,3.1481115252864584,1
03/22/2000,19.822151086065595,02/01/2000,05/11/2000,2.564919234527321,0
03/23/2000,19.815339870988534,02/02/2000,05/12/2000,2.564919234527321,0
03/24/2000,19.806345503471544,02/03/2000,05/13/2000,2.564919234527321,0
03/25/2000,19.795167983514617,02/04/2000,05/14/2000,2.564919234527321,0
03/26/2000,19.78180731111776,02/05/2000,05/15/2000,2.564919234527321,0
03/27/2000,19.764003090503017,02/06/2000,05/16/2000,2.1995222164379085,0
03/28/2000,19.747540156222612,02/07/2000,05/17/2000,2.1995222164379085,0
03/29/2000,19.732418508276545,02/08/2000,05/18/2000,2.1995222164379085,0
03/30/2000,19.71863814666482,02/09/2000,05/19/2000,2.1995222164379085,0
03/31/2000,19.706199071387434,02/10/2000,05/20/2000,2.1995222164379085,0
04/01/2000,19.695101282444387,02/11/2000,05/21/2000,2.1995222164379085,0
04/02/2000,19.685344779835678,02/12/2000,05/22/2000,2.1995222164379085,0
04/03/2000,19.676929563561306,02/13/2000,05/23/2000,2.1995222164379085,0
04/04/2000,19.669855633621285,02/14/2000,05/24/2000,2.1995222164379085,0
04/05/2000,19.664122990015592,02/15/2000,05/25/2000,2.1995222164379085,0
04/06/2000,19.65973163274424,02/16/2000,05/26/2000,2.1995222164379085,0
04/07/2000,19.65668156180723,02/17/2000,05/27/2000,2.1995222164379085,0
04/08/2000,19.65497277720456,02/18/2000,05/28/2000,2.1995222164379085,0
04/09/2000,19.654605278936227,02/19/2000,05/29/2000,2.1995222164379085,0
04/10/2000,19.65557906700223,02/20/2000,05/30/2000,2.1995222164379085,0
04/11/2000,19.657894141402576,02/21/2000,05/31/2000,2.1995222164379085,0
04/12/2000,19.66155050213726,02/22/2000,06/01/2000,2.1995222164379085,0
04/13/2000,19.66654814920629,02/23/2000,06/02/2000,2.1995222164379085,0
04/14/2000,19.672887082609655,02/24/2000,06/03/2000,2.1995222164379085,0
04/15/2000,19.680567302347352,02/25/2000,06/04/2000,2.1995222164379085,0
04/16/2000,19.690852851415713,02/26/2000,06/05/2000,1.982770530925711,0
04/17/2000,19.70086566009523,02/27/2000,06/06/2000,1.982770530925711,0
04/18/2000,19.710605728385893,02/28/2000,06/07/2000,1.982770530925711,0
04/19/2000,19.720073056287713,02/29/2000,06/08/2000,1.982770530925711,0
