date,textArea,nonTextArea,maxLevel,averageLevel,numOfLeaves,numOf1stLevelNodes,numOf2ndLevelNodes,numOf3rdLevelNodes,percentageOfLeafArea,percentageOfLeafArea2,numOfTextGroulp,numOfImageArea,colorFulnessmethod1,Complexity
19990103,0,172527,11,7.700223713646532,447,1,3,9,21.78811376035563,30.042313853869192,57,13,126.18275698814077,6.816201741993403
19990125,0,172527,11,7.700223713646532,447,1,3,9,21.78811376035563,30.042313853869192,57,13,126.18275698814077,6.816201741993403
19990127,0,179382,11,7.718166383701188,589,1,3,9,22.134339555590653,30.519703687572097,73,11,126.71682500472994,8.254115600606422
19990201,0,186702,11,7.820710973724884,647,1,3,9,21.676063009678078,29.887813842696055,80,11,126.68281800426386,8.90650441573594
19990215,0,202066,11,7.951289398280802,698,1,3,9,22.570549022411267,31.121166570150688,90,10,127.52824394377853,9.626836708366772
19990223,0,177187,11,8.036211699164346,718,1,3,9,19.791592200736318,27.289430884291715,92,12,129.13283479800006,9.9429780699954
19990227,0,189980,11,7.969914040114613,698,1,3,9,21.22055617114058,29.25974298000271,91,9,127.7424836384634,9.61942677992644
19990327,0,189363,11,8.024024024024024,666,1,3,9,20.203461078866507,27.80987487516889,87,9,127.3804042206627,9.24444866839509
19990423,0,204314,11,8.001508295625943,663,1,3,9,21.798608740184363,30.00558068495565,85,10,128.08530975814142,9.186141880946074
19990429,0,192521,11,8.028528528528529,666,1,3,9,20.54039347900307,28.273659167009342,87,9,128.28540956734565,9.245860357807999
19991001,0,197014,11,9.179675994108983,679,1,3,10,19.82351283908879,20.12235976631123,66,14,129.89988799422605,8.49647644696462
20000101,0,201435,11,9.179675994108983,679,1,3,10,20.268353054817677,20.573906115945583,66,14,129.717340859203,8.498466085647255
20000321,0,194520,11,9.174887892376681,669,1,3,10,19.636425306478447,19.932451818636412,62,14,129.83937081620797,8.237477958413022
20000424,0,201414,11,9.19882179675994,679,1,3,10,20.00599939608728,20.30759737693282,63,15,129.5994307241358,8.397048830129885
20000511,0,196993,11,9.19882179675994,679,1,3,10,19.56687141426823,19.861849375287353,63,15,129.7790968412685,8.395084438936365
20000516,0,177321,11,9.235204855842186,659,1,3,10,18.197071572828925,18.471399284982123,69,14,129.65376320586532,8.552292679614107
20000605,0,213568,11,9.128129602356406,679,1,3,10,20.878106768022775,21.19285209618392,65,17,129.4490466366589,8.616995714375491
20000621,0,207421,11,9.141176470588235,680,1,3,10,20.277184708992227,20.582870910635325,65,17,129.63253542634192,8.619008793415082
